OID_,Movements_south_projected2_Length,POINT_X,POINT_Y,TWI,S,ID,NEAR_FID,DFC
24,3.307755692074848,825672.575199999846518,9871989.109999999403954,6.2130861,3.9085975,2.4443083,1,44.499048211706899
25,2.564788229434845,825272.193400000222027,9878575.747199999168515,7.6416430,3.4546874,2.9223208,1,294.238752073226465
26,2.614709837131548,825666.660400000400841,9872025.807800000533462,5.9370866,4.7054739,2.3821497,1,32.798957673005475
27,3.638500785021673,824433.104100000113249,9872457.247600000351667,7.9635277,0.4974868,5.8812695,1,1128.605667918178824
28,5.974380188935063,825277.489400000311434,9871883.720899999141693,5.5098691,6.8856597,2.6286333,1,443.604113404533905
29,2.733685224527956,825486.069899999536574,9872074.408199999481440,5.9554787,4.7330074,2.3655906,1,175.358264940489192
30,3.531265672028082,825691.062400000169873,9872005.338899999856949,6.2130861,3.9085975,2.4719481,1,20.606793033231451
31,3.316758336053359,825674.234400000423193,9871970.311499999836087,6.2130861,3.9085975,2.5691988,1,51.708205022322709
32,3.997013417914774,825746.167799999937415,9871891.788200000301003,5.7921391,4.4994740,2.0807447,1,24.164676431447798
33,3.835484397313773,825772.904400000348687,9871850.984600000083447,5.7921391,4.4994740,1.3666453,1,19.291987285308569
34,4.555819426047258,825793.601999999955297,9871820.375700000673532,5.7707839,5.3513184,1.4897274,1,15.068090473580039
35,3.322582759730149,824698.380400000140071,9875789.755200000479817,6.5559549,2.1510003,2.9043543,1,920.069994792009197
36,4.950514205991515,825277.073499999940395,9874134.054199999198318,5.4643373,6.4576159,4.1893106,1,394.036744183518977
37,3.700780987026138,825557.836699999868870,9874387.157600000500679,6.2944665,3.4802024,4.9373689,1,112.454560909625982
38,4.068925987435017,824748.705299999564886,9874236.544299999251962,5.2981849,8.2516575,3.7877536,1,911.521372169395249
39,4.847951745657115,824772.668100000359118,9874282.974099999293685,5.2981849,8.2516575,4.3060350,1,886.101955563386355
40,3.727758780465471,824737.579499999992549,9874296.836500000208616,5.2981849,8.2516575,4.0841722,1,921.213470214502763
41,4.217280594883007,824814.538700000382960,9874217.484400000423193,6.6470418,2.1819162,3.9325449,1,847.074447649528793
42,4.378749211176095,825253.792600000277162,9875086.404899999499321,5.2978072,6.6117420,3.0035694,1,387.741636254837147
43,3.012850270617085,824941.664300000295043,9875037.811100000515580,7.0012417,2.7707033,2.7080956,1,696.192692489797992
44,4.441999038777057,825289.875699999742210,9875144.293199999257922,5.2978072,6.6117420,3.0269310,1,355.415240774342863
45,3.935808319104360,825334.171299999579787,9875083.427699999883771,6.4316020,3.9793019,3.0034416,1,307.334913966824104
46,3.914729364671839,825331.965400000102818,9875150.777599999681115,6.4316020,3.9793019,3.0747151,1,314.065114277418616
47,4.866435919567201,825319.250599999912083,9875169.075600000098348,6.4316020,3.9793019,3.0269310,1,328.404554932015969
48,4.524119113340545,825354.055599999614060,9875160.762800000607967,6.4316020,3.9793019,3.0747151,1,292.983830646566560
49,6.601542970696379,825391.999699999578297,9874998.988700000569224,7.4881673,3.2830584,3.7078881,1,244.306700620686655
50,6.913615205238653,825337.637299999594688,9874976.448599999770522,7.4881673,3.2830584,3.5595036,1,296.698912322301851
51,5.480936287945261,825489.953999999910593,9875088.811000000685453,7.4591866,3.4095359,2.9472942,1,152.199884349524268
52,4.881208612907359,825468.953599999658763,9875169.028799999505281,7.4591866,3.4095359,2.8112745,1,179.328239287741070
53,5.875897412679023,825454.170500000007451,9875166.061100000515580,7.4591866,3.4095359,2.9049163,1,193.776843063396313
54,3.739670800607665,825546.312599999830127,9875113.737500000745058,7.2297430,3.2705271,2.6414053,1,97.521856847731755
55,4.341554427578815,825119.558600000105798,9874379.913200000301003,5.8388972,5.4495382,5.6325750,1,546.406281844150953
56,3.975651782328140,824648.426900000311434,9874759.166099999099970,5.5892673,5.9494195,4.4198461,1,989.530052434606091
57,3.612030499855686,825352.896900000050664,9875213.809599999338388,5.8580914,4.5637436,2.8818834,1,299.002922993605523
58,4.005649655558508,825325.905700000002980,9875238.218699999153614,5.8580914,4.5637436,2.8818834,1,328.119080438650769
59,4.349664568311273,825357.826799999922514,9875249.511099999770522,5.8580914,4.5637436,2.8818834,1,297.414190136067873
60,4.746143121133283,825320.641800000332296,9875289.313200000673532,5.8580914,4.5637436,2.4351513,1,340.579061954534495
61,3.336798255699393,825569.127799999900162,9875216.665999999269843,6.1404519,4.2912068,2.3586671,1,83.945384765955581
62,4.453296452931756,825366.842400000430644,9875350.455299999564886,5.9279456,3.8232040,2.0418019,1,312.678731970358911
63,4.502062097666229,825543.312400000169873,9875400.022399999201298,6.2151222,4.3391829,1.9329360,1,155.023923053326570
64,2.767962383902099,825355.020499999634922,9875464.001000000163913,6.8883352,3.5282495,2.4920881,1,322.982274471659480
65,3.246185750067254,825329.234400000423193,9875465.829800000414252,6.8883352,3.5282495,2.4966331,1,347.522744833519653
66,2.654809240081434,825344.252100000157952,9875506.715299999341369,6.8883352,3.5282495,3.0783446,1,322.893959740821003
67,3.624346646577512,825430.712500000372529,9875613.605799999088049,6.6116366,3.6923218,3.1639402,1,217.738842167599756
68,3.817496784886217,825446.613199999555945,9875659.729499999433756,6.6116366,3.6923218,3.0809004,1,196.781421833434933
69,1.982613209299221,825544.257899999618530,9875548.764599999412894,6.1825156,3.8535330,2.4697139,1,118.693727988531762
70,3.620549695572993,825574.120500000193715,9875549.040500000119209,6.1825156,3.8535330,2.4697139,1,89.683847590412242
71,2.075017409194123,825628.146200000308454,9875449.975899999961257,6.1825156,3.8535330,1.8928010,1,63.031836189242632
72,3.182972273754926,825360.654299999587238,9875415.909299999475479,5.9279456,3.8232040,2.3807049,1,330.061828037674559
73,3.119503694023767,825370.004999999888241,9875454.893400000408292,6.8883352,3.5282495,2.5395029,1,310.783186517015451
74,3.532783536272031,825327.923000000417233,9875551.676000000908971,6.7207665,3.4132721,3.1339381,1,328.049492352614038
75,4.641262471824502,825311.772400000132620,9875640.889599999412894,6.7207665,3.4132721,3.3804381,1,332.883150514541114
76,3.782551863893305,825311.902999999932945,9875620.458399999886751,6.7207665,3.4132721,3.3804381,1,335.037474363778642
77,3.328216943086479,825236.377799999900162,9875643.390699999406934,5.4651632,5.6561561,3.3705137,1,407.525513660221861
78,4.094679197528732,825345.031200000084937,9875647.400900000706315,6.7207665,3.4132721,3.3531101,1,299.104909596944594
79,3.525838795031047,825378.495500000193715,9875662.086799999698997,6.7207665,3.4132721,3.2960598,1,264.208577830719491
80,3.775808919824939,825177.020399999804795,9873380.735600000247359,6.0083351,4.3219023,4.3063440,1,308.874336693301473
81,4.063951084966271,825112.889999999664724,9873284.866399999707937,5.6563950,6.1661520,5.0009112,1,391.544875776089214
82,2.320112679826059,825333.140200000256300,9873561.062400000169873,6.0504055,4.4770966,3.2032585,1,133.843513272276141
83,2.910361243078590,825407.973699999973178,9873490.416300000622869,6.3914585,3.3164337,3.0951259,1,60.157232770328683
