OID_,mem_point_LineOID,mem_point_Value,Movement_Merge_FID,Movement_Merge_Id,Movement_Merge_Length,Movement_Merge_Distance,Movement_Merge_UniID,POINT_X,POINT_Y,TWI,S,ID,NEAR_FID,DFC
917,916,0,916,0,7,7.02660386793,917,822995.5023,9894859.871,5.8430033,7.8328161,3.8477757,1,1938.5151750626
918,917,0,917,0,9,9.43075959236,918,822804.2889,9894689.1753,5.0550466,9.5606394,4.4979548,1,2193.20989835579
919,918,0,918,0,9,8.85155609529,919,822703.2419,9894564.8364,5.2655158,10.8542624,4.0378885,1,2353.25391738879
920,919,0,919,0,8,7.9864941589,920,822685.8547,9894441.3261,5.1131506,9.2491474,3.6233137,1,2456.92849092542
921,920,0,920,0,9,9.49544056207,921,822777.2909,9894359.297,5.0037374,10.0360641,3.9476564,1,2457.15434593237
922,921,0,921,0,8,7.53512876848,922,822867.238,9894533.9158,5.7702184,8.5766134,4.21383,1,2267.01939777191
923,922,0,922,0,10,10.4151369394,923,823150.2928,9894819.6939,5.02068,10.7394543,3.6825442,1,1865.31687052864
924,923,0,923,0,7,7.09704609497,924,823152.5465,9894620.8176,5.4478412,8.4449091,4.2677894,1,2013.15637572321
925,924,0,924,0,7,7.04257490427,925,823203.9185,9894243.4564,5.8726726,8.6853151,5.098527,1,2214.9032887697
926,925,0,925,0,6,6.27488943737,926,822798.1582,9894186.6153,5.2802744,10.3165464,2.8192165,1,2572.98490134702
927,926,0,926,0,5,5.4650268883,927,822858.9427,9894032.0346,6.9919162,1.5321479,2.4931467,1,2467.73764530496
928,927,0,927,0,5,4.74313629614,928,822695.4398,9894029.803,6.9396009,2.0044057,1.9102409,1,2624.42162267922
929,928,0,928,0,5,4.6554760656,929,822663.0955,9893961.7301,4.9400692,10.3700895,1.7202694,1,2638.67066013794
930,929,0,929,0,6,6.40093305587,930,822764.9237,9893818.6491,6.0273004,4.4683318,1.7074214,1,2508.46061184686
931,930,0,930,0,6,5.93973021762,931,822916.6044,9893758.7944,5.9360576,5.8189902,2.3611648,1,2348.2639119633
932,931,0,931,0,8,8.17617681428,932,822689.8707,9893745.4247,5.0919137,10.6611748,0.8542762,1,2569.02379699628
933,932,0,932,0,6,5.77324171383,933,822741.0055,9893248.029,5.6541786,8.1514091,0,1,2482.4992901812
934,933,0,933,0,10,9.56550833845,934,822625.7165,9893271.7293,5.097939,10.8017149,0,1,2597.24415346345
935,934,0,934,0,11,10.7506301009,935,822873.9288,9892828.7602,6.146307,3.5641792,1.5052385,1,2382.337281342
936,935,0,935,0,11,10.6608344226,936,822733.2691,9892756.3562,5.2687573,9.6406622,1.575654,1,2529.64749335996
937,936,0,936,0,10,9.73397542342,937,822700.8935,9892652.4165,5.5557423,8.424531,1.5780656,1,2573.10419752833
938,937,0,937,0,8,8.22163311707,938,822577.2906,9892563.1969,6.9857497,3.5959859,1.4544876,1,2706.00097878605
939,938,0,938,0,7,6.87856172621,939,822710.5809,9892511.9942,6.0314474,7.0687165,1.3871375,1,2580.99251866234
940,939,0,939,0,6,6.2529288394,940,822563.751,9892461.901,6.3443289,4.3592849,1.2889913,1,2733.75735436155
941,940,0,940,0,7,6.72651854917,941,822632.7509,9892431.1887,6.3443289,4.3592849,1.176728,1,2670.28948362601
942,941,0,941,0,7,7.48482330568,942,822608.2106,9892376.382,5.9107533,4.7152205,0.8232257,1,2702.95171367768
943,942,0,942,0,6,6.3931835054,943,822567.0615,9892427.611,6.3443289,4.3592849,1.1714967,1,2735.7495604987
944,943,0,943,0,10,9.8924959753,944,822694.3363,9892286.087,5.5009971,7.3833971,0,1,2632.75490745764
945,944,0,944,0,5,5.09194593328,945,822686.0757,9892112.7624,5.821209,6.9532766,0,1,2675.1514939989
946,945,0,945,0,4,3.84643361668,946,822511.3224,9892034.9112,6.0555801,5.5596952,1.0806229,1,2862.22732042402
947,946,0,946,0,4,4.49306569589,947,822634.6101,9891881.3819,5.8414979,4.4469352,1.1604674,1,2773.35675006504
948,947,0,947,0,10,9.86986378103,948,822529.4398,9891512.4783,5.2120347,9.119009,4.4587846,1,2963.55886496371
949,948,0,948,0,8,8.1704889425,949,822599.7624,9891417.9304,5.1077056,8.703845,3.8833165,1,2920.65540409501
950,949,0,949,0,4,4.46448934222,950,822484.9505,9891379.266,6.2031088,3.7372737,4.7622681,1,3041.69551434935
951,950,0,950,0,4,4.30585646769,951,822483.5712,9891347.6662,6.2031088,3.7372737,4.7904592,1,3052.00811866161
952,951,0,951,0,4,4.14905287433,952,823222.9288,9895383.0823,7.4803429,1.1454808,4.2429414,1,1404.83686874416
953,952,0,952,0,8,7.66390522057,953,823385.4147,9895222.0523,6.8548431,2.7006452,3.3019974,1,1408.63659225362
954,953,0,953,0,7,6.97294199001,954,823430.721,9895131.8191,6.3030148,3.6502559,2.9553709,1,1445.72069717705
955,954,0,954,0,9,8.91529432074,955,823396.5637,9894861.9207,5.3046303,8.7194204,2.9370737,1,1671.96246284873
956,955,0,955,0,10,9.82569964825,956,823248.4476,9894780.804,4.9990349,9.2431965,3.7150581,1,1829.15182030214
957,956,0,956,0,10,10.2334554357,957,823129.2827,9894862.2246,5.02068,10.7394543,3.4527559,1,1847.60788614154
958,957,0,957,0,6,6.48973928157,958,823468.0161,9894562.8076,6.2844009,3.4601157,4.0804935,1,1876.04255136191
959,958,0,958,0,8,7.62789073854,959,823462.2761,9894294.992,5.2839336,9.7954988,4.0699625,1,2002.28641906353
960,959,0,959,0,6,6.10962836473,960,823152.8175,9894165.689,6.9379516,1.6775126,4.2906184,1,2232.98700010248
961,960,0,960,0,6,5.85550456889,961,823281.1624,9894063.5349,7.477087,1.3534347,3.836978,1,2076.89886167265
962,961,0,961,0,9,9.0281204066,962,823411.8573,9894075.4062,5.2358294,9.9449482,3.9091249,1,1958.80494243611
963,962,0,962,0,8,7.63724540468,963,823627.9534,9894140.3742,5.2282753,7.2143846,3.0075538,1,1786.13932109282
964,963,0,963,0,8,8.36657099948,964,823615.5775,9894050.6371,5.2282753,7.2143846,2.7912061,1,1760.61141813431
965,964,0,964,0,7,6.53063537567,965,823669.5533,9893931.9811,5.7235641,5.1561337,2.7756739,1,1667.04442755727
