OID_,Length,TWI,TWI_5,TWI_10,TWI_15,Slope,Slope_5,Slope_10,Slope_15,Irrigation_Density_100,Irrigation_Density_200,Irrigation_Density_300,Irrigation_Density_400,Value,NEAR_FID,NEAR_DIST
11,2.84042822328,5.1616607,5.9016132,7.2464337,7.5946841,4.3483276,3.3270762,2.4722486,1.9562792,6.1215825,3.1559687,4.0214667,4.8391833,2.8404281,1,463.905027443783297
12,4.56320877227,9.7613125,7.4231534,7.0425043,7.1803055,0.7668818,1.4987950,2.3631337,2.5619302,11.4699697,7.5115929,5.3494577,4.7777696,4.5632086,1,684.355678054358577
13,4.39440263424,6.9324908,7.0110846,7.1624026,7.2594457,1.3302367,1.3653561,2.1281629,2.4868813,12.7592201,7.6321821,5.2523475,4.8201342,4.3944025,1,680.730872345292369
14,5.50245384106,5.3192415,5.5888047,6.4304566,6.4581323,2.5870187,4.2172022,3.4672399,3.6752386,13.4649315,7.7745261,5.3400531,4.5911245,5.5024538,1,742.228057969765700
15,4.97987316364,6.2207775,6.2056723,6.2213292,6.3960371,4.7516656,4.2845817,3.8180997,3.6397009,9.2684860,7.3371296,5.4194388,4.5094538,4.9798732,1,734.086630833069080
16,4.36362884717,4.3466673,5.3445268,6.0788097,6.2235236,6.1820664,5.0165710,4.1430249,3.9339087,7.3484030,6.9344397,5.2275162,4.1499457,4.3636289,1,798.747164880806395
17,5.58297028314,5.5917110,6.0793557,6.7287121,6.7942166,4.4822731,3.1528504,2.8765104,2.9911580,14.9263287,7.9899664,5.4511056,4.6625795,5.5829701,1,736.809188936151372
18,6.28908661404,7.2735333,6.5762000,6.6856461,6.8114719,1.8001654,3.4798443,2.9221327,2.8522720,13.8149118,7.9023418,5.5046749,4.5108123,6.2890868,1,767.872558065428166
19,4.17715831589,5.2947936,6.0971732,6.4919519,6.4998279,6.8195305,4.8555541,3.5338867,3.4521077,9.7931042,7.3350677,5.2456322,4.2370982,4.1771584,1,803.158609752543157
20,2.59912405679,5.9447446,6.2559962,7.0855489,7.0358200,1.2508291,2.0679102,2.1974239,2.1542666,16.3651924,8.2609882,5.9192910,4.7170305,2.5991240,1,689.589473106709193
21,5.00790926696,7.1665673,7.1966844,7.1067157,7.1193752,1.7121022,1.8137537,2.2283969,2.5492342,15.2836838,7.9928222,5.4919524,4.8270507,5.0079093,1,698.933315277311749
22,2.72726802893,6.5103893,7.4721627,7.3080506,6.8498349,1.2315615,1.5121526,1.5116056,2.2561259,6.2213655,4.5508704,5.2655425,4.2425957,2.7272680,1,720.694063522633996
23,473.532520884,6.4529028,6.7505236,7.7808609,7.9808016,1.3134995,1.9541252,1.7744833,1.7404605,0.3069628,4.1363235,2.7189875,2.1824806,473.5325317,1,275.936572757192152
24,9.01264450734,7.0108547,6.8013773,6.8280697,6.8051167,0.7803024,3.3596253,3.1707973,3.2330985,0.0000000,0.9786280,0.8826228,0.8546360,9.0126448,1,3.628143082881505
25,2.62778533082,10.3272734,7.5014439,6.9351773,6.8779397,1.3256726,2.3555331,2.8999553,2.9425113,1.3029095,1.1913905,0.8942544,0.7078304,2.6277854,1,42.759698977567922
26,11.7088448762,5.4236722,6.3925619,6.3390827,6.8579636,2.1048391,3.6645977,3.9823601,3.0121093,3.6175563,1.7050123,1.1120343,1.1580111,11.7088451,1,13.533492683866392
27,2.77245510351,5.4897709,6.8000922,6.6145749,6.6507668,2.4647267,2.0364265,3.1228187,2.7851026,0.8019572,1.1632586,0.8866140,1.0166428,2.7724552,1,32.583644899515470
28,6.74169858015,5.5518217,5.8041835,6.2282982,6.6474528,6.5005264,4.9302926,3.7624660,3.6173036,0.0000000,1.5692525,1.5918424,2.8062689,6.7416987,1,26.794823385513055
29,11.1843576437,8.7412214,6.2323079,6.6160254,6.7632565,1.1413993,2.3810632,2.4868903,2.6321888,6.0056343,5.3726411,4.5414944,4.2693782,11.1843576,1,29.362511035452375
30,8.99273803526,5.5484505,6.0245109,5.9945569,6.1219034,2.6394055,3.8152447,3.9805238,3.7982662,8.7887440,7.0969753,5.4708347,4.9354839,8.9927378,1,34.055928912797334
31,7.35409881931,4.5792298,5.3935308,5.8306594,6.2993169,8.2423077,5.3874788,4.7157702,3.4496593,6.9531560,6.6951442,5.4866886,4.7469854,7.3540988,1,4.432961603757949
32,7.07997940331,4.4635863,4.8973637,6.0287156,6.4398594,7.7139602,6.5943046,4.2247062,2.8031812,10.6933880,7.7096272,6.7720213,5.6686349,7.0799794,1,28.812566400214514
33,5.37176921269,5.4764547,6.5387597,6.4416409,6.4080563,2.9417670,2.2556226,2.3984003,2.6558096,9.7897339,6.7061243,5.2824202,5.0317740,5.3717694,1,42.543463650657998
34,14.9067825494,6.1489730,6.7826471,6.9750133,7.0409660,1.0522605,1.0961728,1.8800260,1.8357791,10.0574751,8.2963200,8.1422863,6.3208070,14.9067822,1,136.126264222186791
35,15.2273702107,5.8559737,6.9573340,7.1994357,7.1116357,2.0474219,1.3100468,1.2836215,1.7606187,9.3102112,8.5503788,8.3527040,6.5488133,15.2273703,1,151.153869600088200
36,14.8567313911,7.3194251,6.7891278,7.3074145,7.3622880,1.1170133,1.5152252,1.2684100,1.5200036,6.6438761,8.0917263,8.5950899,7.3430200,14.8567314,1,288.359007179724017
37,15.9848948701,6.2205358,7.0990143,6.9924297,6.8991551,1.7840067,1.5115821,1.5292156,1.9421418,9.7993469,7.0538797,6.0684490,5.7647896,15.9848948,1,207.214061868541677
38,44.1191666836,5.4014678,6.8503971,7.4161134,7.1851892,2.3096814,2.2177110,1.6453650,1.7056725,7.6956363,6.8378854,5.7105403,5.6281524,44.1191673,1,380.666894944712851
39,99.5985878973,6.2370377,6.4794035,7.3644075,7.2657332,1.7407807,1.7560639,1.4844102,1.6370115,6.8567929,6.5114107,5.4160628,5.5764465,99.5985870,1,285.632845023833852
40,401.537537837,6.0290956,6.9913583,7.7779193,7.9194207,3.6435494,2.1241403,1.8887819,1.8851688,0.0000000,3.8421071,2.6588607,1.9684776,401.5375366,1,248.914182926825077
41,16.954541344,4.8764186,5.8029709,6.9971604,7.1726632,3.7598863,3.2056563,2.0021138,1.9414428,1.0421352,3.7138968,6.5980344,6.3664107,16.9545422,1,703.556261676927079
42,14.7296001097,7.2320733,8.0169697,7.9882722,7.4058056,0.3600873,1.1594300,1.1999326,1.7575334,0.0974236,2.3715143,6.8608017,7.8792076,14.7296000,1,636.371244828117142
43,16.4012973298,9.4313707,7.7016215,7.5453510,7.4041538,1.0705954,1.8105131,1.7344828,1.8982620,0.7243272,4.4074974,6.6553917,7.5297270,16.4012966,1,668.327682708179282
44,15.7610277287,7.8167696,7.8641992,7.2587590,7.0393085,1.0824677,1.4084886,1.8286133,2.2138569,3.3969202,4.5533161,6.9506040,7.9025831,15.7610273,1,628.817087150336874
45,16.1054220463,5.7845225,6.7312813,6.9870987,6.9644551,4.6912446,2.9740405,2.2487092,2.1956084,2.3469028,4.2235074,6.7493253,8.0846291,16.1054230,1,534.307532526136470
46,16.6298903308,4.6374378,5.9783559,6.1443639,6.7224555,4.6334720,4.0340600,4.1116090,3.2086775,4.6785822,7.1910791,7.5116887,7.6201949,16.6298904,1,421.976552866813165
47,16.0094008571,7.0818930,7.0748315,6.9147482,6.5006528,2.2515602,2.2903976,2.4560111,2.9631181,5.9259434,3.3207910,5.4606600,5.9028988,16.0094013,1,839.671589348174734
48,14.4419169617,7.1154079,7.1266127,7.1166573,6.7145629,1.9733343,1.9012021,1.9335233,2.4362507,1.8701272,4.6649680,5.9208050,6.1102967,14.4419174,1,794.388541869908408
49,14.3473755767,6.0237689,6.3634424,6.6515579,6.7742243,3.3223844,2.6072671,2.6375678,2.3449314,5.6708417,3.0785398,4.7353654,4.9469380,14.3473759,1,933.778893368179979
50,14.1959043566,6.6455898,8.2722807,6.9219193,7.1064610,0.8899924,1.2201399,2.1848283,1.8465897,4.1092615,2.9241467,4.2768168,5.0105567,14.1959047,1,945.361451209130564
51,15.9498648993,5.1626310,6.0611458,6.0003271,6.2218909,4.4649272,3.0677705,3.2614365,3.0854335,4.7812591,5.7957411,4.6091833,3.6578524,15.9498653,1,1025.855331021324446
52,15.2902920272,6.3096557,6.2660460,6.0478520,6.0464616,1.1229920,2.0885351,3.1130610,3.4897351,5.5584159,5.6619930,4.4553728,3.6180420,15.2902918,1,1047.400982327753127
53,12.8056949469,5.5566802,5.8092484,6.0648580,6.1488156,3.3683074,3.0667832,3.4527261,3.3722751,2.3649406,3.0037632,3.4587920,3.0606570,12.8056946,1,1156.634793562011964
54,13.9685495996,6.3044434,6.2783751,6.1440196,6.1013374,2.4205930,2.9959919,3.5472996,3.4221106,1.8044910,3.4074814,3.7260869,3.2361948,13.9685497,1,1127.999422371116907
55,272.29472245,5.6607943,6.7717209,7.6336503,7.3955145,1.6963704,1.3216807,1.3770188,1.7200161,0.0000000,4.1898232,4.2595029,3.5486226,272.2947083,1,880.562121717010882
56,1232.55823107,5.6158233,6.6346564,6.7634392,6.5651879,3.3679502,2.6603537,2.6255615,2.6897292,9.1883612,4.8376360,4.0182509,4.1590981,1232.5582275,1,793.947871355796792
57,6.98681771724,6.0296688,6.4876380,6.4781613,6.7469144,3.2530992,3.0783033,3.0524111,2.9694633,1.4798996,2.2452483,2.3700938,2.6636786,6.9868178,1,1967.025391506082997
58,6.67506859341,6.1122389,6.6615591,7.1017547,6.9711118,2.7594457,2.6387923,2.0359166,2.5228748,0.0000000,1.5863239,2.6391098,2.6058173,6.6750684,1,1971.458105971742043
59,6.82810933591,7.8672481,7.0166717,6.4397383,6.6936827,1.9207953,1.8137394,2.4224083,2.3199673,3.1847527,2.7566531,2.3096969,2.6457214,6.8281093,1,1908.718578997658369
60,1078.79247409,6.5688806,6.9531994,6.6136594,6.7390003,1.8129681,2.1288600,2.2775028,2.4526961,6.7079024,4.3026166,4.2197962,4.0954142,1078.7924805,1,789.250985325005331
61,2.02194703796,7.1373487,8.3814659,8.0958290,8.0632124,0.6648831,0.5756373,0.7495058,0.7716284,0.0000000,0.0000000,1.1942623,2.4467995,2.0219471,1,2341.252665631002856
62,334.361763917,6.4651284,5.7895808,6.5831475,6.5686526,1.1201388,3.7360990,2.8455398,2.9798207,6.1771994,6.5424638,5.4317794,4.3144565,334.3617554,1,744.445578727461111
63,9.55144079173,6.7069120,5.6133766,5.4203749,5.6607471,6.3039799,6.8764868,7.4504862,6.9397488,0.4116964,3.1704202,2.2601399,2.3420222,9.5514412,1,1251.269733805422902
64,11.1668182583,5.4057484,5.7902770,5.9886341,6.1521835,2.2370381,3.2886784,3.3090961,3.5930815,3.8637364,3.3246787,3.1367583,2.8752167,11.1668186,1,1172.079977905697888
65,14.0213471358,7.9339809,6.9015250,6.1013212,5.8482790,1.7051419,3.8535101,5.0085149,5.6200843,0.0000000,2.8601820,2.1457999,2.3803248,14.0213470,1,1254.760016054038715
66,16.1162850083,8.0388451,6.9410863,5.6339278,5.3694005,1.3942895,4.1975288,10.9600039,11.2120991,0.3959235,2.3238029,2.0301893,1.7484646,16.1162853,1,1404.464683214814613
67,10.0290896127,5.4527369,5.0941648,5.0980654,5.2658744,17.8388023,14.3029270,10.3535604,9.1704597,0.0000000,0.0000000,1.7703977,1.7759649,10.0290899,1,2020.799128174269299
68,2.02367741722,7.5517001,8.3707256,8.0765638,8.0725946,0.5776699,0.5813856,0.7530724,0.7674481,0.0000000,0.0000000,1.0640994,2.4541948,2.0236773,1,2340.089787120143683
69,9.12814325653,5.9978628,5.6730890,5.2783456,5.3135333,12.1021261,8.2701988,8.8073463,9.3063049,6.2827210,3.2106302,3.5047133,3.5880654,9.1281433,1,2664.315126488899750
70,11.1761238265,5.8173337,5.1985359,5.2297764,5.0750251,14.8317900,11.2958746,9.4989004,9.5507479,6.0287127,5.5420818,4.6297894,4.0669079,11.1761236,1,2756.678802458461178
71,6.36240297864,4.3326693,5.8164840,5.7909703,5.5140982,9.1844168,6.9436479,6.7827697,7.6128645,6.0969992,5.8172874,4.6649632,4.3172574,6.3624029,1,2977.011212286758564
72,7.58230139331,5.7930284,5.8203940,6.1395512,6.2657232,5.6779976,4.1882944,4.2649369,4.1709833,0.0000000,4.5396080,4.2680392,4.5611496,7.5823016,1,3059.451124064218675
73,5.50741335784,7.0008821,8.4835987,8.2481976,7.3309169,0.6887435,0.8317989,0.8778023,1.8611723,0.0000000,0.0000000,0.8632620,1.8977513,5.5074134,1,3020.411078118199384
74,4.67587884939,6.8399167,7.4338689,7.4070740,7.5807824,0.6381748,1.0177221,1.2411406,1.2832065,0.0000000,0.0000000,0.0000000,1.2529089,4.6758790,1,2979.843497261237189
75,5.29167724866,5.4073992,6.8036423,6.4286256,6.7253699,2.1789749,1.8974777,2.4559443,2.6383636,2.3566256,2.4581094,2.3844049,2.6608593,5.2916775,1,1938.727463122269910
76,3.86256193154,5.7741094,6.7078962,6.4736652,6.9666619,3.6843984,2.6148415,2.5602357,1.9695023,5.3029289,3.2710788,2.3260682,2.3050489,3.8625619,1,1864.660529281220761
77,98.0421562819,5.9170523,7.1167212,7.4869590,7.5512733,1.5107381,1.7564141,1.9002026,2.1060779,7.1238389,4.6127114,3.0571792,2.4206254,98.0421600,1,264.115821746053598
78,137.385027293,5.3176689,6.3412971,6.3649230,6.9122443,3.1881132,2.7726123,3.5244827,2.8561525,5.8466053,3.5588195,2.7347844,4.0567040,137.3850250,1,364.324672500741087
79,4.62287902616,7.5876369,8.1434689,7.6640067,7.8280473,1.5021271,1.4448490,1.5798845,1.6519543,2.0230687,3.1612904,5.6354074,4.9489889,4.6228790,1,459.383117018055145
80,95.412935909,5.6946754,5.8786044,6.5321927,6.8112984,6.3880095,5.1427336,3.8835781,3.4017248,0.7559736,2.6276546,3.9462657,3.8359158,95.4129333,1,147.714492045309839
81,353.015599667,6.3182788,5.9768028,7.0020409,7.3821011,3.2478688,3.1972852,2.2824330,2.2109885,0.1094237,2.3858044,4.8540463,4.0798674,353.0155945,1,233.833620920239866
82,127.9497064,6.4391999,6.2155957,6.7701621,7.0062594,3.6086760,3.3506024,2.3396459,1.8599397,7.3534298,7.2544518,5.7580948,5.1819105,127.9497070,1,429.877655423345288
83,130.138686715,6.9126596,8.6274853,8.0284300,7.7907619,1.1129284,0.9721300,1.0447446,1.2246288,0.0000000,2.3788860,2.0012770,2.4863424,130.1386871,1,956.033969299797832
84,13.8116831079,5.7706676,6.5045896,7.0452228,7.0294528,3.2806046,2.1815481,1.7250966,1.8079416,0.0000000,0.0000000,1.3233414,3.5830498,13.8116827,1,900.155801991836938
85,15.7865907745,7.3823776,7.6842151,7.4925537,7.2147260,1.4947224,1.2215823,1.2510484,1.7625282,0.0000000,0.0000000,1.5408517,2.2407401,15.7865906,1,985.514913894405368
86,80.5852257058,7.2395763,7.0831871,7.4029431,7.4446707,1.3195769,1.5413603,1.5007727,1.8222263,5.9901018,3.2108808,2.1501567,1.6118670,80.5852280,1,1071.754256137420498
87,7.53018873746,4.7353368,5.8608656,5.9406061,6.1498408,4.3870482,3.3819501,4.0169492,4.3258128,0.0000000,1.2032809,1.7388498,1.7150780,7.5301886,1,1170.563335583614617
88,27.8831725789,9.4138021,7.0184669,6.6378713,6.5029516,1.0786144,2.2697666,2.8779936,3.1741400,0.0000000,2.4854960,2.0181229,1.5780100,27.8831730,1,1160.247558110380623
89,9.96326008837,6.3730984,6.2924237,6.0035205,6.2104177,1.6286540,2.7713096,4.0923514,3.8922174,0.0000000,1.9541861,1.8892076,1.5855706,9.9632597,1,1179.556719548825413
90,16.9519605468,7.1288347,6.4500341,6.0957427,6.2621398,1.7301025,3.0594423,4.0782828,3.6426489,0.0000000,2.4114087,1.9912679,1.5696286,16.9519596,1,1184.907488653636619
91,8.30810180551,5.9346457,6.9980798,6.6329870,5.9776664,2.2402499,2.7570331,3.9558923,5.1903038,5.2654853,3.0622568,2.0866110,1.5829709,8.3081017,1,1387.396369285888568
92,9.26421418749,5.3268471,5.2529206,5.6364026,5.7427683,5.8558636,5.6266088,6.8382821,6.2771010,6.2537022,3.1690171,2.1179211,1.5952305,9.2642145,1,1390.689317984016725
93,11.4781834542,5.1175156,4.9158025,5.4214358,5.9884071,3.7237918,7.6815205,6.7325449,6.0700245,0.0000000,0.9018042,1.6231147,2.2600853,11.4781837,1,1166.149396241774866
94,73.6784112281,7.5431042,7.6382642,7.4603238,7.1407585,1.6600591,2.1160481,2.1214564,2.2057252,3.3078723,2.8518724,2.0602243,2.6851833,73.6784134,1,979.935946075258812
95,23.3464338544,4.9384046,6.2819977,6.2031422,6.1647372,6.3263507,4.3664193,5.4663463,5.2029233,0.0000000,1.2059996,3.0636470,4.4046812,23.3464336,1,992.895672007934763
96,25.4798518173,9.0873051,6.0321183,5.9437232,6.1762152,1.1173099,5.0623641,5.6853542,4.7854476,0.0000000,1.8374515,3.9215400,4.7994127,25.4798527,1,959.397089682620390
97,15.5632896998,7.1707129,6.1866131,5.9782963,5.8418779,2.3003948,4.8487363,4.8572807,4.8720155,2.5774319,2.8925531,2.5168483,2.4518874,15.5632896,1,1135.378179974801242
98,9.72863025346,5.8759356,5.8374982,5.6521306,5.6827507,6.3860784,4.7849541,5.5376501,5.9046698,0.0000000,2.1458702,1.8221458,2.1452124,9.7286301,1,1246.888049334292873
99,8.47081671355,7.0826769,6.7467866,5.9124875,5.8522944,4.8702393,5.1909628,6.0842113,5.5629344,0.6700677,2.4132276,1.8571898,1.4631039,8.4708166,1,1389.795899300952442
100,8.61422646015,9.8089352,7.0005345,6.4595275,5.8830504,1.4782625,4.1711855,4.3089700,5.9042988,0.0000000,0.0000000,2.0440540,2.2956953,8.6142263,1,1207.581967480872208
101,74.4699000938,5.2696261,5.2673421,5.8447795,6.3889699,5.0096436,4.7288218,4.3925047,3.5821538,3.8961253,2.8209169,1.9893664,1.5243272,74.4699020,1,1157.588431936017059
102,9.1845286998,4.9359875,4.9805522,5.4493141,5.5043626,5.8343534,7.5030684,7.1987977,7.1910367,0.0000000,0.0000000,0.5112731,1.3876411,9.1845284,1,1549.686123087011993
103,133.330316429,7.0174222,6.6195407,6.6552973,6.5101347,1.7216815,3.2960651,3.4903166,3.4761117,5.0295186,3.1189244,2.1382594,1.6122646,133.3303223,1,1176.583786722865852
104,85.1766918497,8.0507393,6.9133034,7.0455804,7.5405560,0.4466509,1.4022356,1.6695883,1.6891166,6.2716641,3.1823409,2.3422010,2.6346865,85.1766891,1,958.108878966513998
105,73.604263196,5.6141620,6.8608031,7.5011721,7.3407202,2.2500174,2.0443404,1.9410373,1.9585530,5.2642961,3.0656688,3.6791742,3.1195722,73.6042633,1,850.177428691423756
106,16.6855738569,5.1437845,5.9233179,6.5701146,6.7516026,5.4581947,3.2578907,2.8805404,3.3088882,7.6485386,5.8812299,4.7990870,4.8347769,16.6855736,1,726.770949216914914
107,7.30606070065,7.8240590,5.6390882,5.4773993,5.7711568,1.3079910,4.0128016,5.3154640,5.5543351,0.0000000,0.0000000,1.0241836,1.8461629,7.3060608,1,1426.837165295777595
108,10.8055220188,12.3183985,7.2598348,7.0730758,6.1898646,0.4754811,3.7208276,4.0079226,5.1385984,0.0000000,0.0000000,2.3645837,3.5910485,10.8055220,1,1045.968569164051587
109,27.2847035614,4.6419148,5.9807510,5.9205141,6.5916977,10.7722807,5.5162158,4.5751815,3.5519552,11.4820929,6.2175665,4.5042377,4.4605236,27.2847042,1,717.637541267123538
110,17.4755588193,8.2630358,8.0047541,7.6488819,7.4433379,1.6881390,1.2279913,1.4037625,1.6026856,3.8927872,7.2219152,5.7216802,5.1031799,17.4755592,1,556.109370279957602
111,26.6642911961,5.9349899,6.6984248,6.8555470,6.9951329,3.5182521,2.4777732,2.2268910,2.2044141,6.2783227,6.2302842,5.2708502,4.6384511,26.6642914,1,623.102398388291249
112,21.5781887745,6.3288012,6.5871058,6.9109621,7.0085959,3.3788114,2.5815279,2.2562690,2.1780372,6.1643229,6.2936573,5.3962421,4.7499390,21.5781879,1,612.795268207152162
113,20.6786295941,6.0157299,6.0642433,6.3532095,6.5661368,1.7242848,2.7767177,3.1910975,3.0459898,12.4001141,6.3878965,5.1218433,4.8214083,20.6786289,1,648.342478121394947
114,29.8103363157,6.6363254,6.6821766,6.6275625,6.5644569,3.9972742,3.3712189,3.0874581,3.1479340,9.2237749,6.1449652,4.9159184,4.3740172,29.8103371,1,677.356303118691699
115,15.3118866885,9.5020180,7.9320755,7.7693958,7.3127232,0.4705157,0.9780187,1.1573619,1.7739673,6.3479819,5.6510816,5.6151185,5.5542560,15.3118868,1,523.432691815068438
116,13.3283053855,6.5379162,6.6581631,7.5569406,7.5131941,1.7095598,1.8199492,1.3713591,1.4230099,7.3404255,6.1860919,6.0877995,6.0795064,13.3283052,1,359.207863225608321
117,12.9515354665,5.1878281,6.7069216,7.3203135,7.3570690,3.9709826,2.3895242,1.8332901,1.8433230,9.2102375,5.6628032,7.0107975,6.3842540,12.9515352,1,343.437050863424361
118,12.2181607747,6.2178741,7.5285182,7.4394369,7.5227413,1.8787783,1.3353623,1.3524760,1.3873302,10.6550026,7.5549383,6.6839991,5.0454640,12.2181606,1,234.507191988150169
119,12.1242938706,8.5485859,7.6796284,7.4580474,7.5216398,1.1254606,1.1067604,1.4424869,1.3694561,11.8392067,7.9086685,6.7145920,4.7296047,12.1242943,1,203.056312155659356
120,11.1402060498,6.6282759,8.1240492,7.5149055,7.6864147,2.1034360,1.2284944,1.7042073,1.4260241,5.2872057,9.3734961,6.0021262,5.9273014,11.1402063,1,203.688363311579280
121,14.0164534181,8.3694477,8.0490360,7.9040608,7.5728474,1.1032828,0.9561711,1.0432042,1.2243496,4.9048195,6.3904419,7.3504577,5.9340472,14.0164537,1,193.537206095379730
122,14.8403010564,7.6564097,6.8981175,7.3786826,7.4882917,0.7743885,1.3277878,1.3647012,1.3770652,6.7204118,5.9346647,6.5137830,7.9804397,14.8403015,1,336.173843575884177
123,14.8556240371,5.5595794,6.8898835,7.4382310,7.4661355,2.2304118,1.4964651,1.3714013,1.4251901,6.7196989,5.7945862,6.3813806,8.0223980,14.8556242,1,361.122867143597830
124,16.5655700648,6.7272501,7.0899663,6.8463621,6.9425278,2.4541996,2.8203907,3.1694977,2.5897901,4.6630845,6.7818069,6.1950812,5.8400517,16.5655708,1,572.076842353193570
125,18.8953635649,8.0594387,6.1592798,6.0658021,6.5342689,2.6241195,3.4628150,3.8439081,3.3607712,7.5024400,6.3890524,5.6922417,5.3271747,18.8953629,1,664.208818683661434
126,17.5415708722,8.6439495,7.2467976,7.0041680,7.0595107,1.5521668,1.6476934,1.8973784,2.0834644,7.4140043,4.8392224,5.1521297,5.2295790,17.5415707,1,585.582909401438201
127,17.0401867422,5.9256806,7.6249928,6.8753452,6.8709021,1.5703975,1.8387783,2.3136215,2.3125379,8.5469666,5.3181853,4.9453607,5.5281434,17.0401859,1,556.263693032481797
128,18.4101702771,6.2230024,6.4638181,6.5575948,6.9048271,2.1941011,2.6292078,2.4441049,2.3221788,7.0806618,4.2215519,4.3161702,5.2945700,18.4101696,1,625.217011842809370
129,17.5415708704,5.4298782,6.2629633,6.4546194,6.7796612,2.6797619,2.1861281,2.6912935,2.5017633,8.2161379,4.8458185,4.7530570,5.4749293,17.5415707,1,589.578812557275455
130,19.5216278051,8.3465395,7.8262339,7.2460241,6.9102211,0.9581164,1.5678145,2.0019600,2.1937695,0.8118921,2.8150017,3.2712269,4.8141737,19.5216274,1,723.115416755540309
131,34.1440733349,5.4887538,5.7086539,6.6422849,6.8139901,4.2620373,3.5558467,2.4665995,2.3987374,5.8422551,3.9051089,4.7464852,4.8176475,34.1440735,1,650.822355758402523
132,19.4284562617,6.4027071,6.5707479,7.0001583,6.8705277,3.2318444,2.8053610,2.2828608,2.3828647,4.5524650,3.6439879,3.9776628,5.0415378,19.4284554,1,673.799849092917270
133,42.3524637553,5.1521592,5.9552040,6.6211801,6.7526894,3.1933141,2.6918457,2.4987507,2.4420209,5.8688378,4.5872951,4.9046140,4.3449454,42.3524628,1,657.346805216955431
134,34.8730765003,6.3658619,6.5256248,6.6665616,6.5201926,3.6829052,2.9167626,2.8301210,3.0503469,5.2030549,5.5751429,4.7252383,4.1829753,34.8730774,1,690.388820159128386
135,95.3244802013,9.5486460,7.4000621,6.9922299,6.9556713,1.0550344,1.6853936,2.1090465,2.0560689,0.0000000,2.6732774,3.8851171,3.8281500,95.3244781,1,758.873590326690305
136,128.141654966,7.8695459,7.9727731,7.4389987,7.5005231,1.5774249,1.2604806,1.3972518,1.3235499,0.0000000,0.2490869,2.2071912,2.7095785,128.1416473,1,904.556470291149481
137,14.1239217628,9.1071424,7.4849925,6.9847379,7.0095544,0.9858621,2.5440652,2.3622954,2.3658352,0.0000000,2.1639531,4.4577503,5.3070889,14.1239214,1,860.371307609214909
138,73.0311354939,6.4691334,7.0844655,6.9098482,7.3447461,2.6515770,2.0549242,2.1790822,1.7968800,6.2666855,3.1713047,3.4674308,2.9303067,73.0311356,1,888.635904827538184
139,76.7499731365,5.2822032,5.8828831,6.2970676,6.7206140,3.3725863,3.9296064,3.4000058,3.0565329,6.1964746,3.1566164,2.1125693,1.5868603,76.7499695,1,1146.280527358343988
140,66.4085044672,5.0332866,6.0932240,6.9902267,7.0417047,3.1640999,2.6357195,2.2948587,2.5005753,6.2690659,3.2148271,2.1434183,1.6056616,66.4085007,1,1119.518686467651833
141,15.0319860315,6.0356126,5.8763423,6.6392274,6.6966677,3.1465950,4.2947788,3.0817320,3.0529020,5.6631532,6.4141083,5.6739521,4.8371043,15.0319862,1,627.787995352361008
